frame,timestamp,realtime_sec,track_inner_ms,tracking_state,tracking_state_name,flag_ok,flag_recently_lost,flag_lost,flag_vo,host,build_id,cpu_temp_c,throttled_hex,imu_scale_s,bias_bax,bias_bay,bias_baz,bias_bwx,bias_bwy,bias_bwz,dx,dy,dz,e_trans,drx,dry,drz,mean_desc_dist,desc_std,inlier_ratio,reproj_error,feature_spread,feature_grid_coverage,velocity_change,map_inliers,keypoints,reproj_error_lag1,reproj_error_lag5,reproj_error_rolling_mean,map_inliers_trend,map_inliers_rolling_mean,velocity_acceleration,velocity_change_lag1,drift_prev,drift_rolling_mean,inlier_ratio_lag1,inlier_ratio_trend,keypoints_rolling_mean,feature_spread_trend,feature_grid_coverage_lag1,tracking_health_score
0,1403715273.262142897,1779008427.840317,2.0837,2,OK,1,0,0,0,hurwitz,unknown_build,60.600,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000008,0.243971,0.081380,0.000000,0,1204,nan,nan,0.000008,nan,0.000000,0.000000,nan,nan,0.000000,nan,nan,1204.000000,nan,nan,0.663814
1,1403715273.312143087,1779008427.897980,16.8089,2,OK,1,0,0,0,hurwitz,unknown_build,60.600,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000036,0.000078,-0.000104,0.000135,0.000051,-0.000021,-0.000031,5.529167,9.713552,1.000000,0.118801,0.238001,0.073242,0.000198,480,1206,0.000008,nan,0.059404,nan,240.000000,0.000135,0.000000,0.000000,0.000067,1.000000,nan,1205.000000,nan,0.081380,0.713150
2,1403715273.362143040,1779008427.940186,9.7045,2,OK,1,0,0,0,hurwitz,unknown_build,60.600,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000140,0.000068,0.000081,0.000175,-0.000014,0.000043,-0.000049,6.920732,12.029767,1.000000,0.181864,0.239149,0.074544,0.000043,492,1202,0.118801,nan,0.100224,nan,324.000000,0.000040,0.000198,0.000135,0.000103,1.000000,nan,1204.000000,nan,0.073242,0.691804
3,1403715273.412142992,1779008427.981371,9.1132,2,OK,1,0,0,0,hurwitz,unknown_build,60.600,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000274,-0.000099,-0.000303,0.000420,-0.000021,-0.000095,0.000027,7.510081,14.244688,1.000000,0.203150,0.240116,0.073568,0.000280,496,1204,0.181864,nan,0.125955,nan,367.000000,0.000245,0.000043,0.000175,0.000183,1.000000,nan,1204.000000,nan,0.074544,0.686501
4,1403715273.462142944,1779008428.023075,9.5577,2,OK,1,0,0,0,hurwitz,unknown_build,60.600,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000088,-0.000261,0.000242,0.000367,-0.000109,0.000077,0.000037,8.453061,14.887962,1.000000,0.217192,0.241521,0.074870,-0.000017,490,1201,0.203150,nan,0.144203,nan,391.600006,-0.000054,0.000280,0.000420,0.000219,1.000000,nan,1203.400024,nan,0.073568,0.683732
5,1403715273.512142897,1779008428.065886,11.2882,2,OK,1,0,0,0,hurwitz,unknown_build,60.600,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000254,-0.000260,0.000183,0.000407,-0.000108,-0.000152,0.000067,7.391394,13.535192,1.000000,0.207674,0.243515,0.073893,0.000100,488,1204,0.217192,0.000008,0.154781,97.599998,407.666656,0.000040,-0.000017,0.000367,0.000251,1.000000,0.000000,1203.500000,-0.000091,0.074870,0.685562
6,1403715273.562143087,1779008428.108884,11.4594,2,OK,1,0,0,0,hurwitz,unknown_build,60.600,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000538,0.000626,0.000353,0.000898,0.000216,0.000071,-0.000326,12.422414,16.343111,1.000000,0.448388,0.237137,0.072266,0.000690,464,1203,0.207674,0.118801,0.196725,-3.200000,415.714294,0.000491,0.000100,0.000407,0.000343,1.000000,0.000000,1203.428589,-0.000173,0.073893,0.656764
7,1403715273.612143040,1779008428.150742,9.6480,2,OK,1,0,0,0,hurwitz,unknown_build,60.600,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000354,-0.000733,-0.000492,0.000952,-0.000265,-0.000099,0.000084,17.604027,19.103559,1.000000,0.670565,0.235504,0.070312,-0.000048,447,1204,0.448388,0.181864,0.255955,-9.000000,419.625000,0.000054,0.000690,0.000898,0.000419,1.000000,0.000000,1203.500000,-0.000729,0.072266,0.646271
8,1403715273.662142992,1779008428.201264,9.8810,2,OK,1,0,0,0,hurwitz,unknown_build,60.600,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000242,0.000157,0.000067,0.000296,0.000177,0.000166,0.000106,16.097561,18.006994,1.000000,0.603477,0.239614,0.071289,-0.000687,451,1203,0.670565,0.203150,0.294569,-9.000000,423.111115,-0.000656,-0.000048,0.000952,0.000405,1.000000,0.000000,1203.444458,-0.000100,0.070312,0.648813
9,1403715273.712142944,1779008428.253158,10.6252,2,OK,1,0,0,0,hurwitz,unknown_build,60.600,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000957,0.000772,0.000237,0.001252,0.000360,-0.000801,-0.000045,20.947964,18.960897,1.000000,0.863532,0.238954,0.068685,0.001571,442,1206,0.603477,0.217192,0.351465,-9.600000,425.000000,0.000956,-0.000687,0.000296,0.000490,1.000000,0.000000,1203.699951,-0.000513,0.071289,0.641039
