frame,timestamp,realtime_sec,track_inner_ms,tracking_state,tracking_state_name,flag_ok,flag_recently_lost,flag_lost,flag_vo,host,build_id,cpu_temp_c,throttled_hex,imu_scale_s,bias_bax,bias_bay,bias_baz,bias_bwx,bias_bwy,bias_bwz,dx,dy,dz,e_trans,drx,dry,drz,mean_desc_dist,desc_std,inlier_ratio,reproj_error,feature_spread,feature_grid_coverage,velocity_change,map_inliers,keypoints,reproj_error_lag1,reproj_error_lag5,reproj_error_rolling_mean,map_inliers_trend,map_inliers_rolling_mean,velocity_acceleration,velocity_change_lag1,drift_prev,drift_rolling_mean,inlier_ratio_lag1,inlier_ratio_trend,keypoints_rolling_mean,feature_spread_trend,feature_grid_coverage_lag1,tracking_health_score
0,1403638127.295097113,1779007907.433974,1.0922,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000011,0.228717,0.023112,0.000000,0,1205,nan,nan,0.000011,nan,0.000000,0.000000,nan,nan,0.000000,nan,nan,1205.000000,nan,nan,0.653900
1,1403638127.345097065,1779007907.495866,14.9460,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000498,-0.000124,0.003643,0.003679,0.000157,-0.000237,0.000025,10.225000,12.128798,1.000000,0.334553,0.210186,0.018880,0.003964,120,1204,0.000011,nan,0.167282,nan,60.000000,0.003679,0.000000,0.000000,0.001840,1.000000,nan,1204.500000,nan,0.023112,0.585081
2,1403638127.395097017,1779007907.530502,3.2950,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000395,-0.000175,-0.002120,0.002164,0.000323,0.000382,-0.000673,17.037735,14.709082,1.000000,0.636690,0.223670,0.016276,-0.000962,106,1202,0.334553,nan,0.323751,nan,75.333336,-0.001515,0.003964,0.003679,0.001948,1.000000,nan,1203.666626,nan,0.018880,0.553629
3,1403638127.445096970,1779007907.582040,3.1636,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000049,0.000206,-0.001838,0.001850,-0.000492,-0.000187,0.000583,11.114754,11.944680,1.000000,0.261348,0.214209,0.020182,-0.000367,122,1206,0.636690,nan,0.308151,nan,87.000000,-0.000314,-0.000962,0.002164,0.001923,1.000000,nan,1204.250000,nan,0.016276,0.596420
4,1403638127.495096922,1779007907.631105,2.7908,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000042,-0.000346,0.002076,0.002105,-0.000758,-0.000214,0.000034,20.362068,16.933132,1.000000,0.850385,0.217537,0.018555,0.000258,116,1204,0.261348,nan,0.416598,nan,92.800003,0.000255,-0.000367,0.001850,0.001960,1.000000,nan,1204.199951,nan,0.020182,0.557189
5,1403638127.545097113,1779007907.681131,3.0815,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000120,0.000448,-0.001561,0.001628,0.000774,0.000468,-0.000471,14.512000,17.827896,1.000000,0.448862,0.216912,0.020182,-0.000245,125,1205,0.850385,0.000011,0.421975,25.000000,98.166664,-0.000476,0.000258,0.002105,0.001904,1.000000,0.000000,1204.333374,-0.002361,0.018555,0.580380
6,1403638127.595097065,1779007907.730941,3.0266,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000090,0.000217,0.001733,0.001749,0.000400,-0.000061,0.000195,12.504000,11.552750,1.000000,0.457687,0.219599,0.019857,-0.000450,125,1204,0.448862,0.334553,0.427077,1.000000,102.000000,0.000121,-0.000245,0.001628,0.001882,1.000000,0.000000,1204.285767,0.001883,0.020182,0.579762
7,1403638127.645097017,1779007907.795868,4.0503,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000142,-0.000097,-0.001745,0.001754,-0.000008,0.000196,0.000143,17.589285,15.320711,1.000000,0.669488,0.220261,0.019206,-0.000201,112,1205,0.457687,0.636690,0.457378,1.200000,103.250000,0.000005,-0.000450,0.001749,0.001866,1.000000,0.000000,1204.375000,-0.000682,0.019857,0.558418
8,1403638127.695096970,1779007907.846170,4.6332,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000189,0.000060,0.001631,0.001643,-0.000146,-0.000421,0.000574,11.725806,13.235667,1.000000,0.301422,0.219355,0.020182,0.000373,124,1201,0.669488,0.261348,0.440049,0.400000,105.555557,-0.000111,-0.000201,0.001754,0.001841,1.000000,0.000000,1204.000000,0.001029,0.019206,0.592680
9,1403638127.745096922,1779007907.905449,4.0523,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000137,-0.000094,-0.001597,0.001606,0.000176,0.000630,-0.001272,16.829268,15.069328,1.000000,0.693687,0.219886,0.018880,0.000667,123,1205,0.301422,0.850385,0.465413,1.400000,107.300003,-0.000038,0.000373,0.001643,0.001818,1.000000,0.000000,1204.099976,0.000470,0.020182,0.567504
10,1403638127.795097113,1779007907.959611,4.3413,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000078,-0.000008,-0.000293,0.000303,0.000061,-0.000243,0.000611,17.358974,15.137243,1.000000,0.663704,0.216818,0.019531,-0.002073,117,1205,0.693687,0.448862,0.531783,-1.600000,119.000000,-0.001302,0.000667,0.001606,0.001848,1.000000,0.000000,1204.099976,-0.000019,0.018880,0.563162
11,1403638127.845097065,1779007908.016195,3.5902,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000049,0.000007,0.000152,0.000160,0.000005,0.000018,-0.000503,14.950820,11.499718,1.000000,0.586016,0.221679,0.019531,-0.000301,122,1209,0.663704,0.457687,0.556929,-0.600000,119.199997,-0.000144,-0.002073,0.000303,0.001496,1.000000,0.000000,1204.599976,0.000416,0.019531,0.570510
12,1403638127.895097017,1779007908.065870,3.3641,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000454,0.000093,-0.001139,0.001230,-0.000072,0.000158,-0.000255,16.707964,14.740636,1.000000,0.645796,0.215810,0.018555,0.000875,113,1206,0.586016,0.669488,0.557839,0.200000,119.900002,0.001070,-0.000301,0.000160,0.001403,1.000000,0.000000,1205.000000,-0.000890,0.019531,0.559998
13,1403638127.945096970,1779007908.117138,2.9977,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000515,-0.000176,0.000752,0.000928,-0.000182,0.000178,-0.000265,17.571428,15.247782,1.000000,0.677994,0.219387,0.018229,-0.000243,112,1206,0.645796,0.301422,0.599504,-2.400000,118.900002,-0.000302,0.000875,0.001230,0.001310,1.000000,0.000000,1205.000000,0.000006,0.018555,0.557980
14,1403638127.995096922,1779007908.158756,3.3324,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000508,-0.000723,0.001055,0.001376,0.000319,-0.000446,0.000806,23.196428,19.693563,1.000000,0.766529,0.224263,0.019206,0.001056,112,1205,0.677994,0.693687,0.591118,-2.200000,118.500000,0.000449,-0.000243,0.000928,0.001238,1.000000,0.000000,1205.099976,0.000875,0.018229,0.555637
15,1403638128.045097113,1779007908.196626,4.1888,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000022,0.000046,-0.000086,0.000100,0.000304,-0.000080,0.000281,23.091743,17.546030,1.000000,0.928606,0.221158,0.017904,-0.001830,109,1205,0.766529,0.663704,0.639093,-1.600000,116.900002,-0.001277,0.001056,0.001376,0.001085,1.000000,0.000000,1205.099976,0.000868,0.019206,0.549261
16,1403638128.095097065,1779007908.231759,2.8972,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000074,0.000794,-0.000571,0.000980,0.000455,-0.000321,-0.000156,23.071428,16.008766,1.000000,0.993973,0.220006,0.018229,0.001037,112,1204,0.928606,0.586016,0.692721,-2.000000,115.599998,0.000881,-0.001830,0.000100,0.001008,1.000000,0.000000,1205.099976,-0.000335,0.017904,0.550917
17,1403638128.145097017,1779007908.286109,3.7497,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000475,-0.000368,0.002874,0.002936,0.000412,-0.000167,-0.000653,22.887932,17.720421,1.000000,1.134872,0.219676,0.018229,0.002168,116,1202,0.993973,0.645796,0.739260,0.600000,116.000000,0.001956,0.001037,0.000980,0.001126,1.000000,0.000000,1204.800049,0.000773,0.018229,0.552548
18,1403638128.195096970,1779007908.335660,4.0715,2,OK,1,0,0,0,hurwitz,unknown_build,58.950,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000931,-0.000116,0.001673,0.001918,0.000366,0.000230,-0.000106,22.151785,15.966599,1.000000,1.096462,0.215514,0.017253,-0.001363,112,1208,1.134872,0.677994,0.818764,0.000000,114.800003,-0.001018,0.002168,0.002936,0.001154,1.000000,0.000000,1205.500000,-0.000775,0.018229,0.549272
