frame,timestamp,realtime_sec,track_inner_ms,tracking_state,tracking_state_name,flag_ok,flag_recently_lost,flag_lost,flag_vo,host,build_id,cpu_temp_c,throttled_hex,imu_scale_s,bias_bax,bias_bay,bias_baz,bias_bwx,bias_bwy,bias_bwz,dx,dy,dz,e_trans,drx,dry,drz,mean_desc_dist,desc_std,inlier_ratio,reproj_error,feature_spread,feature_grid_coverage,velocity_change,map_inliers,keypoints,reproj_error_lag1,reproj_error_lag5,reproj_error_rolling_mean,map_inliers_trend,map_inliers_rolling_mean,velocity_acceleration,velocity_change_lag1,drift_prev,drift_rolling_mean,inlier_ratio_lag1,inlier_ratio_trend,keypoints_rolling_mean,feature_spread_trend,feature_grid_coverage_lag1,tracking_health_score
0,1413393212.255760431,1779009054.104304,3.5782,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000008,0.228943,0.085286,0.000000,0,1201,nan,nan,0.000008,nan,0.000000,0.000000,nan,nan,0.000000,nan,nan,1201.000000,nan,nan,0.664479
1,1413393212.305760384,1779009054.168585,22.4583,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000834,0.000597,-0.000289,0.001066,0.000169,-0.000170,0.000110,10.818538,11.680793,1.000000,0.314147,0.228288,0.076823,0.001329,766,1201,0.000008,nan,0.157077,nan,383.000000,0.001066,0.000000,0.000000,0.000533,1.000000,nan,1201.000000,nan,0.085286,0.669184
2,1413393212.355760574,1779009054.218069,15.8678,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000594,-0.000417,0.000796,0.001077,-0.000216,0.000335,-0.000292,13.498677,13.802787,1.000000,0.509954,0.226196,0.075195,0.000242,756,1202,0.314147,nan,0.274703,nan,507.333344,0.000012,0.001329,0.001066,0.000714,1.000000,nan,1201.333374,nan,0.076823,0.653684
3,1413393212.405760527,1779009054.266378,16.4498,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000078,-0.000051,-0.000225,0.000244,0.000088,-0.000093,0.000047,12.137795,12.787202,1.000000,0.421286,0.228224,0.076823,-0.001191,762,1200,0.509954,nan,0.311349,nan,571.000000,-0.000834,0.000242,0.001077,0.000597,1.000000,nan,1201.000000,nan,0.075195,0.659391
4,1413393212.455760479,1779009054.314288,16.7595,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000607,-0.000367,-0.000388,0.000808,-0.000129,-0.000211,-0.000112,12.883571,14.763231,1.000000,0.438320,0.227464,0.079102,0.000700,773,1200,0.421286,nan,0.336743,nan,611.400024,0.000565,-0.001191,0.000244,0.000639,1.000000,nan,1200.800049,nan,0.076823,0.658592
5,1413393212.505760431,1779009054.364192,16.1540,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000486,0.000479,0.000757,0.001020,0.000070,0.000236,0.000329,15.265060,14.421724,1.000000,0.599513,0.226308,0.077148,0.000351,747,1201,0.438320,0.000008,0.380538,149.399994,634.000000,0.000211,0.000700,0.000808,0.000702,1.000000,0.000000,1200.833374,-0.000527,0.079102,0.649964
6,1413393212.555760384,1779009054.415134,17.9621,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000898,0.000474,0.000561,0.001160,0.000167,0.000397,-0.000165,15.945260,14.746826,1.000000,0.723825,0.227874,0.076823,0.000190,749,1201,0.599513,0.314147,0.429579,-3.400000,650.428589,0.000140,0.000351,0.001020,0.000768,1.000000,0.000000,1200.857178,-0.000083,0.077148,0.645773
7,1413393212.605760574,1779009054.462338,15.5092,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001272,-0.001225,-0.001187,0.002128,-0.000474,-0.000390,-0.000328,15.495352,15.018638,1.000000,0.639768,0.227509,0.075521,0.001203,753,1201,0.723825,0.509954,0.455853,-0.600000,663.250000,0.000968,0.000190,0.001160,0.000938,1.000000,0.000000,1200.875000,0.000262,0.076823,0.648192
8,1413393212.655760527,1779009054.520049,17.3032,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001455,0.000867,0.000961,0.001947,0.000350,0.000237,0.000350,11.671411,13.281541,1.000000,0.413366,0.227721,0.075521,-0.000328,773,1200,0.639768,0.421286,0.451132,2.200000,675.444458,-0.000181,0.001203,0.002128,0.001050,1.000000,0.000000,1200.777832,-0.000101,0.075521,0.659749
9,1413393212.705760479,1779009054.568215,16.1624,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001177,-0.000449,-0.000447,0.001337,-0.000151,-0.000192,-0.000144,16.303713,15.199194,1.000000,0.687401,0.227706,0.078451,-0.000875,754,1201,0.413366,0.438320,0.474759,-3.800000,683.299988,-0.000610,-0.000328,0.001947,0.001079,1.000000,0.000000,1200.800049,0.000048,0.075521,0.647123
