frame,timestamp,realtime_sec,track_inner_ms,tracking_state,tracking_state_name,flag_ok,flag_recently_lost,flag_lost,flag_vo,host,build_id,cpu_temp_c,throttled_hex,imu_scale_s,bias_bax,bias_bay,bias_baz,bias_bwx,bias_bwy,bias_bwz,dx,dy,dz,e_trans,drx,dry,drz,mean_desc_dist,desc_std,inlier_ratio,reproj_error,feature_spread,feature_grid_coverage,velocity_change,map_inliers,keypoints,reproj_error_lag1,reproj_error_lag5,reproj_error_rolling_mean,map_inliers_trend,map_inliers_rolling_mean,velocity_acceleration,velocity_change_lag1,drift_prev,drift_rolling_mean,inlier_ratio_lag1,inlier_ratio_trend,keypoints_rolling_mean,feature_spread_trend,feature_grid_coverage_lag1,tracking_health_score
0,1403637132.138319016,1779007667.938166,1.5780,2,OK,1,0,0,0,hurwitz,unknown_build,61.150,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000013,0.207282,0.033854,0.000000,0,1204,nan,nan,0.000013,nan,0.000000,0.000000,nan,nan,0.000000,nan,nan,1204.000000,nan,nan,0.655720
1,1403637132.188318968,1779007668.017610,17.7742,2,OK,1,0,0,0,hurwitz,unknown_build,61.150,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000645,0.000081,0.001356,0.001503,0.000028,0.000244,-0.000812,9.949541,12.483465,1.000000,0.373298,0.206852,0.030599,0.002351,218,1207,0.000013,nan,0.186656,nan,109.000000,0.001503,0.000000,0.000000,0.000752,1.000000,nan,1205.500000,nan,0.033854,0.655351
2,1403637132.238318920,1779007668.068220,5.1645,2,OK,1,0,0,0,hurwitz,unknown_build,61.150,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000025,-0.000027,-0.000075,0.000084,-0.000128,-0.000013,0.000150,11.124424,12.887254,1.000000,0.443048,0.208230,0.030924,-0.002069,217,1208,0.373298,nan,0.272120,nan,145.000000,-0.001419,0.002351,0.001503,0.000529,1.000000,nan,1206.333374,nan,0.030599,0.650086
3,1403637132.288319111,1779007668.121240,5.2721,2,OK,1,0,0,0,hurwitz,unknown_build,61.150,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000121,0.000171,-0.000226,0.000308,0.000451,0.000161,0.000707,13.924883,13.608680,1.000000,0.560241,0.205585,0.031250,0.000880,213,1206,0.443048,nan,0.344150,nan,162.000000,0.000224,-0.002069,0.000084,0.000474,1.000000,nan,1206.250000,nan,0.030924,0.643799
4,1403637132.338319063,1779007668.170626,5.2206,2,OK,1,0,0,0,hurwitz,unknown_build,61.150,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000264,-0.000178,-0.000925,0.000979,-0.000300,-0.000160,-0.000410,9.891891,11.841940,1.000000,0.333152,0.206173,0.032552,0.000350,222,1206,0.560241,nan,0.341951,nan,174.000000,0.000671,0.000880,0.000308,0.000575,1.000000,nan,1206.199951,nan,0.031250,0.659553
5,1403637132.388319016,1779007668.222245,5.2417,2,OK,1,0,0,0,hurwitz,unknown_build,61.150,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000360,0.000289,0.000336,0.000571,-0.000218,0.000552,-0.001665,17.901478,14.457690,1.000000,0.703239,0.203251,0.028320,0.000828,203,1206,0.333152,0.000013,0.402165,40.599998,178.833328,-0.000408,0.000350,0.000979,0.000574,1.000000,0.000000,1206.166626,-0.000806,0.032552,0.638122
6,1403637132.438318968,1779007668.271952,5.5162,2,OK,1,0,0,0,hurwitz,unknown_build,61.150,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000501,-0.000307,-0.000651,0.000877,0.000006,-0.000044,0.000729,15.188406,14.717905,1.000000,0.667824,0.205451,0.030599,-0.000731,207,1206,0.703239,0.373298,0.440116,-2.200000,182.857147,0.000306,0.000828,0.000571,0.000617,1.000000,0.000000,1206.142822,-0.000280,0.028320,0.639609
7,1403637132.488318920,1779007668.325403,5.7832,2,OK,1,0,0,0,hurwitz,unknown_build,61.150,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000029,0.000062,0.000090,0.000113,0.000169,-0.000293,0.000513,11.635514,12.361300,1.000000,0.477206,0.205789,0.030273,-0.000881,214,1205,0.667824,0.443048,0.444753,-0.600000,186.750000,-0.000765,-0.000731,0.000877,0.000554,1.000000,0.000000,1206.000000,-0.000488,0.030599,0.647853
8,1403637132.538319111,1779007668.374784,5.4932,2,OK,1,0,0,0,hurwitz,unknown_build,61.150,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000028,-0.000042,-0.000595,0.000597,-0.000008,0.000289,-0.000135,15.552511,15.923067,1.000000,0.623665,0.204984,0.030599,0.000189,219,1209,0.477206,0.560241,0.464632,1.200000,190.333328,0.000484,-0.000881,0.000113,0.000559,1.000000,0.000000,1206.333374,-0.000120,0.030273,0.641133
9,1403637132.588319063,1779007668.422980,4.9013,2,OK,1,0,0,0,hurwitz,unknown_build,61.150,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000209,0.000005,0.000592,0.000627,0.000120,-0.000659,0.001692,13.317535,14.114246,1.000000,0.477054,0.207269,0.030924,0.001531,211,1207,0.623665,0.333152,0.465874,-2.200000,192.399994,0.000030,0.000189,0.000597,0.000566,1.000000,0.000000,1206.400024,0.000219,0.030599,0.647973
